gcf	og	protocore	tajimas_d	median_length	samples_with	proportion_of_samples_with_gcf_with_og
GCF_1	HOG0000040	False	0.0718836646570656	1440.0	8	0.8
GCF_1	HOG0009897	False	-1.7451366670014488	411.0	8	0.8
GCF_1	HOG0009898	False	0.2707158321769286	1155.0	8	0.8
GCF_1	HOG0000588	False	-1.5828335286072432	1482.0	8	0.8
GCF_1	HOG0012087	False	-0.8411953196213316	2670.0	8	0.8
GCF_1	HOG0012088	False	-0.9332536432911326	1170.0	8	0.8
GCF_1	HOG0000171	True	-1.303920258936557	8688	9	0.9
GCF_1	HOG0009899	False	-1.2390729371369498	1635	9	0.9
GCF_1	HOG0009900	False	-1.718486181128159	1485	9	0.9
GCF_1	HOG0009901	False	-1.8615686738648536	1515	9	0.9
GCF_1	HOG0009902	False	-0.7811879506068392	681	9	0.9
GCF_1	HOG0001867	False	-0.6049081488782829	1761	9	0.9
GCF_1	HOG0009903	False	0.8049366856230064	939	9	0.9
GCF_1	HOG0012089	False	1.7641356540762283	432.0	8	0.8
GCF_1	HOG0009904	False	0.033024511381457865	873	9	0.9
GCF_1	HOG0009905	False	-1.1731301942196344	879	9	0.9
GCF_1	HOG0009906	False	0.2756769283006589	1785	9	0.9
GCF_1	HOG0009907	False	0.10765295218440968	834	9	0.9
GCF_1	HOG0009908	False	-1.1938923641393964	1803.0	8	0.8
GCF_1	HOG0000047	False	-1.7414792033656288	4260.0	8	0.8
GCF_1	HOG0009909	False	-0.3905626200063927	582.0	8	0.8
GCF_1	HOG0009910	False	-1.1414203857228413	519.0	8	0.8
GCF_1	HOG0009911	False	-1.3209249170056847	1416.0	8	0.8
GCF_1	HOG0009912	True	-0.9004935968863274	7672.5	8	0.8
GCF_1	HOG0009913	False	-1.1414203857228413	675.0	8	0.8
GCF_1	HOG0009914	False	1.2480653080346136	2517.0	8	0.8
GCF_1	HOG0009915	False	0.5846739683956824	300.0	8	0.8
GCF_1	HOG0009916	False	-1.253808096878377	1638.0	8	0.8
GCF_1	HOG0009917	False	-1.1753192292075076	1188.0	8	0.8
GCF_1	HOG0009918	False	-0.9918951445903693	849.0	8	0.8
GCF_1	HOG0009919	False	-1.4475141874643578	1323.0	8	0.8
GCF_1	HOG0009920	False	-1.1704322342881643	1008.0	8	0.8
GCF_1	HOG0009921	False	-1.118246861010646	588.0	8	0.8
GCF_1	HOG0009922	False	-1.3763449885165955	1369.5	8	0.8
GCF_1	HOG0000074	False	-0.5909406997545832	1548.0	8	0.8
GCF_1	HOG0009923	True	-0.05198618933963784	3738.0	8	0.8
GCF_1	HOG0009924	False	2.5818255901146543	325.5	8	0.8
GCF_1	HOG0009925	False	0.7217481449583849	972.0	8	0.8
GCF_1	HOG0009926	False	0.7279495113491514	1452.0	8	0.8
GCF_1	HOG0009927	False	0.1865858181821288	2197.5	8	0.8
GCF_1	HOG0009928	False	0.6031684997682849	714.0	8	0.8
GCF_1	HOG0009929	False	0.1770872943452301	552.0	8	0.8
GCF_1	HOG0009930	False	-1.249338421093442	969.0	8	0.8
GCF_1	HOG0009931	False	-1.0847584593317257	1191.0	8	0.8
GCF_4	HOG0005815	False	-1.5020410539162676	1014	9	0.9
GCF_4	HOG0005816	False	-1.7982221104191782	1011	9	0.9
GCF_4	HOG0005817	False	0.03355939799602028	981	9	0.9
GCF_4	HOG0005818	False	-1.6703430917726503	1974	9	0.9
GCF_4	HOG0005820	False	-1.4562042909010484	1356	9	0.9
GCF_4	HOG0011618	False	-0.7605043744813649	1554	9	0.9
GCF_4	HOG0005821	False	-1.3951512707779583	969.0	10	1.0
GCF_4	HOG0005822	False	-0.46971025934562327	777.0	10	1.0
GCF_4	HOG0005823	False	0.24536896034354191	378.0	10	1.0
GCF_4	HOG0005824	True	-1.554273373693538	897.0	10	1.0
GCF_4	HOG0005825	False	0.83664323014856	1314.0	10	1.0
GCF_4	HOG0005826	False	-0.5913072514571804	1524.0	10	1.0
GCF_4	HOG0005827	False	-0.5826205238455621	1137.0	10	1.0
GCF_4	HOG0005828	False	-1.896717648699029	1155.0	10	1.0
GCF_4	HOG0005829	False	-1.388180871151897	345.0	10	1.0
