Subcluster	BGC_Protocore?	Fitness_Designation
1_2	False	Non-essential
1_12	False	Non-essential
1_31	False	Non-essential
1_35	False	Non-essential
1_0	False	Non-essential
1_5	False	Non-essential
2_0	False	Strain-dependent
3_0	False	Strain-dependent
4_0	False	Non-essential
5_0	False	Non-essential
6_0	False	Non-essential
7_10	False	Non-essential
7_16	False	Non-essential
7_15	False	Accessory
7_44	False	Non-essential
7_3	False	Non-essential
7_27	False	Non-essential
7_29	False	Non-essential
7_88	False	Non-essential
7_67	False	Non-essential
7_31	False	Non-essential
7_57	False	Non-essential
7_6	False	Non-essential
7_0	False	Non-essential
7_82	False	Non-essential
7_43	False	Non-essential
7_85	False	Non-essential
7_91	False	Non-essential
7_23	False	Non-essential
7_71	False	Non-essential
7_72	False	Non-essential
7_79	False	Non-essential
7_49	False	Non-essential
7_13	False	Non-essential
7_25	False	Non-essential
7_8	False	Non-essential
7_81	False	Non-essential
7_94	False	Non-essential
7_59	False	Non-essential
7_20	False	Non-essential
7_45	False	Non-essential
7_51	False	Non-essential
7_58	False	Non-essential
7_55	False	Non-essential
7_53	False	Accessory
7_33	False	Non-essential
7_7	False	Non-essential
7_12	False	Non-essential
7_92	False	Non-essential
7_83	False	Non-essential
7_4	False	Non-essential
7_69	False	Non-essential
7_93	False	Non-essential
7_11	False	Non-essential
7_24	False	Accessory
7_2	False	Non-essential
7_22	False	Non-essential
7_34	False	Non-essential
7_40	False	Non-essential
7_86	False	Non-essential
7_68	False	Non-essential
7_61	False	Non-essential
8_0	False	Non-essential
9_0	False	Non-essential
10_0	False	Non-essential
11_0	False	Non-essential
12_0	False	Non-essential
13_0	False	Strain-dependent
14_0	False	Non-essential
15_0	False	Non-essential
16_0	False	Non-essential
17_10	False	Non-essential
17_5	False	Non-essential
17_1	False	Non-essential
17_0	True	Non-essential
17_4	False	Non-essential
17_9	False	Non-essential
17_2	True	Non-essential
18_0	False	Non-essential
19_0	False	Universal
20_0	False	Non-essential
21_0	False	Strain-dependent
22_1	False	Non-essential
22_0	False	Non-essential
23_0	False	Non-essential
24_0	False	Non-essential
25_0	False	Non-essential
26_0	False	Strain-dependent
27_0	False	Non-essential
28_0	False	Accessory
29_0	False	Non-essential
30_0	False	Non-essential
30_2	False	Non-essential
31_0	False	Non-essential
32_0	False	Non-essential
33_0	False	Non-essential
34_0	False	Non-essential
35_0	False	Strain-dependent
36_0	False	Non-essential
37_0	False	Non-essential
38_0	False	Non-essential
39_0	False	Non-essential
40_0	False	Non-essential
41_0	False	Non-essential
42_0	False	Non-essential
43_0	False	Non-essential
44_0	False	Non-essential
44_2	False	Non-essential
44_17	False	Non-essential
44_11	False	Non-essential
44_14	False	Non-essential
44_5	False	Non-essential
44_16	False	Non-essential
44_3	False	Non-essential
44_18	False	Non-essential
44_7	False	Non-essential
44_15	False	Non-essential
44_12	False	Non-essential
44_6	False	Non-essential
44_22	False	Non-essential
44_10	False	Non-essential
45_0	False	Non-essential
46_0	False	Strain-dependent
47_0	False	Non-essential
48_0	False	Non-essential
49_0	False	Non-essential
50_0	False	Universal
52_0	False	Non-essential
53_0	False	Non-essential
54_0	False	Non-essential
56_0	False	Strain-dependent
57_0	False	Non-essential
58_0	False	Non-essential
59_0	False	Non-essential
61_0	False	Non-essential
62_0	False	Non-essential
63_0	False	Non-essential
64_0	False	Non-essential
65_2	False	Accessory
65_0	False	Strain-dependent
66_0	False	Non-essential
67_0	False	Non-essential
68_0	False	Non-essential
69_1	False	Non-essential
69_5	False	Non-essential
69_2	False	Non-essential
69_0	False	Non-essential
70_0	False	Non-essential
71_0	False	Non-essential
72_0	False	Non-essential
73_0	False	Non-essential
74_0	False	Non-essential
75_0	True	Non-essential
76_0	False	Non-essential
78_0	False	Non-essential
79_0	False	Non-essential
80_0	False	Non-essential
81_0	False	Non-essential
81_4	False	Non-essential
81_6	False	Non-essential
81_9	False	Non-essential
81_2	False	Non-essential
81_3	False	Non-essential
81_1	False	Non-essential
81_5	False	Non-essential
82_0	False	Non-essential
83_0	False	Non-essential
84_1	False	Non-essential
84_2	False	Non-essential
84_0	False	Non-essential
85_0	False	Universal
86_0	False	Non-essential
87_0	False	Non-essential
88_0	False	Non-essential
89_0	False	Non-essential
90_0	False	Non-essential
91_0	False	Strain-dependent
92_0	False	Non-essential
93_0	False	Non-essential
94_0	False	Accessory
95_0	False	Universal
96_0	False	Non-essential
96_2	False	Non-essential
96_5	False	Non-essential
96_1	False	Non-essential
97_0	False	Non-essential
98_0	False	Non-essential
99_0	False	Non-essential
101_4	False	Non-essential
101_1	False	Non-essential
101_0	False	Non-essential
101_2	False	Non-essential
102_0	False	Strain-dependent
103_0	False	Non-essential
104_0	False	Universal
105_0	False	Non-essential
106_0	False	Non-essential
107_0	False	Non-essential
108_0	False	Non-essential
109_0	False	Non-essential
110_0	False	Strain-dependent
111_0	False	Non-essential
113_0	False	Non-essential
114_0	False	Non-essential
115_0	False	Non-essential
116_0	False	Non-essential
117_0	False	Strain-dependent
118_0	False	Non-essential
119_0	False	Non-essential
120_0	False	Universal
121_2	False	Non-essential
121_3	False	Non-essential
122_0	False	Non-essential
123_0	False	Non-essential
124_0	False	Universal
125_0	False	Non-essential
126_0	False	Non-essential
127_0	False	Non-essential
128_0	False	Universal
129_0	False	Non-essential
130_0	False	Universal
131_0	False	Non-essential
132_0	False	Non-essential
133_0	False	Universal
134_0	False	Universal
135_0	False	Strain-dependent
136_0	False	Non-essential
137_0	False	Strain-dependent
138_0	False	Non-essential
139_0	False	Non-essential
140_0	False	Universal
141_0	False	Non-essential
142_0	False	Non-essential
143_2	False	Non-essential
143_3	False	Non-essential
143_1	False	Non-essential
144_0	False	Non-essential
145_0	False	Non-essential
146_1	False	Non-essential
146_0	False	Non-essential
147_0	False	Universal
148_0	False	Non-essential
149_0	False	Universal
150_0	False	Non-essential
151_0	False	Non-essential
152_0	False	Non-essential
153_0	False	Non-essential
154_0	False	Non-essential
155_0	False	Accessory
155_1	False	Non-essential
155_4	False	Accessory
155_2	False	Non-essential
155_7	False	Non-essential
156_0	False	Non-essential
157_0	False	Strain-dependent
158_0	False	Non-essential
159_0	False	Universal
160_0	False	Non-essential
161_0	False	Strain-dependent
162_0	False	Non-essential
163_1	False	Accessory
163_2	False	Non-essential
163_0	False	Accessory
164_0	False	Universal
165_0	False	Non-essential
166_0	False	Non-essential
167_0	False	Strain-dependent
168_0	False	Non-essential
169_0	False	Non-essential
170_0	False	Non-essential
171_0	False	Non-essential
172_0	False	Non-essential
173_0	False	Strain-dependent
174_1	False	Non-essential
174_0	False	Non-essential
174_2	False	Non-essential
175_0	False	Non-essential
176_0	False	Non-essential
177_0	False	Non-essential
178_0	False	Non-essential
179_0	False	Non-essential
180_0	False	Non-essential
181_0	False	Non-essential
182_0	False	Non-essential
183_0	False	Universal
184_0	False	Non-essential
185_1	False	Non-essential
185_0	False	Non-essential
186_0	False	Non-essential
187_0	False	Non-essential
188_0	False	Non-essential
189_0	False	Non-essential
191_0	False	Universal
192_0	False	Non-essential
