genus	gcf	hg	is_core	tajimas_d
C_acnes	GCF_1	OG0000748	FALSE	-1.61
C_acnes	GCF_1	OG0002019	FALSE	-2.16
C_acnes	GCF_1	OG0002107	FALSE	0.41
C_acnes	GCF_1	OG0002203	FALSE	3.01
C_acnes	GCF_1	OG0002108	TRUE	0.06
C_acnes	GCF_1	OG0000749	FALSE	-1.31
C_acnes	GCF_1	OG0000750	FALSE	-1.66
C_acnes	GCF_1	OG0000751	FALSE	-1.42
C_acnes	GCF_1	OG0000752	FALSE	-0.79
C_acnes	GCF_2	OG0001148	FALSE	-0.2
C_acnes	GCF_2	OG0001149	FALSE	-0.21
C_acnes	GCF_2	OG0001150	FALSE	-0.69
C_acnes	GCF_2	OG0001151	FALSE	0.54
C_acnes	GCF_2	OG0001152	FALSE	0.05
C_acnes	GCF_2	OG0001153	FALSE	-2.35
C_acnes	GCF_2	OG0001154	FALSE	-2.52
C_acnes	GCF_2	OG0001155	FALSE	-0.78
C_acnes	GCF_2	OG0002152	FALSE	0.07
C_acnes	GCF_2	OG0002125	FALSE	-2.5
C_acnes	GCF_2	OG0001156	FALSE	-1.09
C_acnes	GCF_2	OG0002055	FALSE	-1.77
C_acnes	GCF_2	OG0002056	FALSE	-1.59
C_acnes	GCF_2	OG0002153	FALSE	-0.1
C_acnes	GCF_2	OG0002154	FALSE	-2.36
C_acnes	GCF_2	OG0002155	FALSE	-0.69
C_acnes	GCF_2	OG0002182	FALSE	-1.87
C_acnes	GCF_2	OG0002156	TRUE	-1.18
C_acnes	GCF_2	OG0002157	TRUE	-0.7
C_acnes	GCF_2	OG0002158	TRUE	-1.46
C_acnes	GCF_2	OG0002159	FALSE	-2.05
C_acnes	GCF_2	OG0002160	FALSE	-1.92
C_acnes	GCF_2	OG0002161	FALSE	-1.95
C_acnes	GCF_2	OG0002162	FALSE	-1.82
C_acnes	GCF_2	OG0002163	FALSE	-1.88
C_acnes	GCF_2	OG0002057	FALSE	-1.54
C_acnes	GCF_2	OG0002058	FALSE	-1.91
C_acnes	GCF_2	OG0002059	FALSE	-2.09
C_acnes	GCF_2	OG0002060	FALSE	-2.03
C_acnes	GCF_2	OG0002164	FALSE	-1.54
C_acnes	GCF_2	OG0002061	FALSE	-2.14
C_acnes	GCF_2	OG0002062	FALSE	-2.1
C_acnes	GCF_2	OG0002063	FALSE	-1.89
C_acnes	GCF_2	OG0002064	FALSE	-2.06
C_acnes	GCF_2	OG0002166	FALSE	-1.11
C_acnes	GCF_2	OG0001157	FALSE	-2.53
C_acnes	GCF_2	OG0001158	FALSE	-0.19
C_acnes	GCF_2	OG0001159	FALSE	-1.18
C_acnes	GCF_2	OG0001160	FALSE	-1.49
C_acnes	GCF_2	OG0001161	FALSE	-1.4
C_acnes	GCF_2	OG0001162	FALSE	-1.17
C_acnes	GCF_2	OG0001163	FALSE	-1.59
C_acnes	GCF_2	OG0001164	FALSE	-0.5
C_acnes	GCF_3	OG0002412	FALSE	-2.54
C_acnes	GCF_3	OG0002417	TRUE	-1.24
C_acnes	GCF_3	OG0002418	TRUE	-2.61
C_acnes	GCF_3	OG0002419	TRUE	-0.96
C_acnes	GCF_3	OG0002420	TRUE	-0.38
C_acnes	GCF_3	OG0002421	TRUE	-1.03
C_acnes	GCF_3	OG0002422	TRUE	-0.81
C_acnes	GCF_3	OG0002423	TRUE	-0.42
C_acnes	GCF_3	OG0002424	FALSE	-2.76
C_acnes	GCF_3	OG0002426	FALSE	-2.63
C_acnes	GCF_3	OG0002117	FALSE	-2.77
C_acnes	GCF_3	OG0002118	FALSE	-2.83
C_acnes	GCF_4	OG0002396	FALSE	-2.59
C_acnes	GCF_4	OG0002397	FALSE	-2.73
C_acnes	GCF_4	OG0002478	TRUE	-2.73
C_acnes	GCF_4	OG0002480	FALSE	4.32
C_acnes	GCF_5	OG0001950	FALSE	1.35
C_acnes	GCF_5	OG0001951	FALSE	1.3
C_acnes	GCF_5	OG0001952	FALSE	2.81
C_acnes	GCF_5	OG0002668	FALSE	1.48
C_acnes	GCF_5	OG0002681	FALSE	-1.41
C_acnes	GCF_5	OG0002683	TRUE	-0.81
C_acnes	GCF_5	OG0001956	FALSE	2.32
C_acnes	GCF_5	OG0001957	FALSE	2.9
C_acnes	GCF_5	OG0001958	FALSE	2.94
C_acnes	GCF_5	OG0001959	FALSE	2.76
C_acnes	GCF_5	OG0001960	FALSE	3.93
C_acnes	GCF_5	OG0001961	FALSE	3.85
C_acnes	GCF_5	OG0001962	FALSE	3.83
C_acnes	GCF_6	OG0000339	FALSE	-0.57
C_acnes	GCF_6	OG0002619	TRUE	-2.91
C_acnes	GCF_6	OG0002620	FALSE	-1.47
C_acnes	GCF_6	OG0002621	FALSE	5.39
C_acnes	GCF_6	OG0000341	FALSE	-1.35
C_acnes	GCF_6	OG0000342	FALSE	-1.98
C_tuberculostearicum_clade	GCF_1	OG0001678	FALSE	1.85
C_tuberculostearicum_clade	GCF_1	OG0001679	FALSE	1.5
C_tuberculostearicum_clade	GCF_1	OG0001680	FALSE	1.33
C_tuberculostearicum_clade	GCF_1	OG0001681	FALSE	1.43
C_tuberculostearicum_clade	GCF_1	OG0001682	FALSE	1.24
