focal GCF	assocaited GCF/OG	allele frequency	direction	frequency in samples with focal GCF	frequency in samples with focal GCF	pvalue	phylgoenetically corrected pvalue	beta	beta-std-err	variant_h2	notes	annotation notes	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
GCF_44	OG0004855	8.00E-01	positive	0.8666666666666667	0.7943262411347518	4.97E-01	8.84E-14	4.76E-01	5.80E-02	5.53E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_44	OG0009032	7.74E-02	positive	0.26666666666666666	0.05673758865248227	3.91E-03	6.48E-10	-6.19E-01	9.38E-02	4.71E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_44	OG0009506	6.45E-02	positive	0.13333333333333333	0.05673758865248227	2.54E-01	2.68E-24	-7.60E-01	6.24E-02	7.02E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_44	OG0009531	6.45E-02	positive	0.2	0.04964539007092199	2.46E-02	2.79E-09	-4.60E-01	7.28E-02	4.55E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_44	OG0009668	5.81E-02	positive	0.13333333333333333	0.04964539007092199	1.90E-01	1.55E-14	-6.35E-01	7.46E-02	5.67E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_61	OG0004315	9.42E-01	negative	0.7777777777777778	0.9523809523809523	3.00E-02	5.72E-09	-4.34E-01	7.02E-02	4.47E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_61	OG0007587	1.35E-01	positive	0.3333333333333333	0.12244897959183673	7.39E-02	9.99E-11	5.10E-01	7.34E-02	4.90E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_61	OG0007708	1.29E-01	positive	0.2222222222222222	0.12244897959183673	3.90E-01	6.52E-09	7.64E-01	1.24E-01	4.45E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_61	GCF_50	7.74E-02	positive	0.6666666666666666	0.04081632653061224	9.41E-12	4.07E-09	3.10E-01	4.97E-02	4.50E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_50.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004395	9.23E-01	positive	0.9621212121212122	0.7083333333333334	1.94E-05	1.70E-09	7.33E-01	1.14E-01	4.60E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004407	9.16E-01	positive	0.9696969696969697	0.625	2.18E-08	4.17E-11	6.14E-01	8.64E-02	4.98E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004441	9.10E-01	positive	0.9772727272727273	0.5416666666666666	7.83E-12	7.98E-09	4.69E-01	7.68E-02	4.43E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004444	9.10E-01	positive	0.9848484848484849	0.5	2.61E-14	5.87E-13	7.68E-01	9.76E-02	5.37E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004459	9.03E-01	positive	0.9772727272727273	0.5	3.65E-13	7.67E-10	5.96E-01	9.08E-02	4.69E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
