Gene_ID	Condition	Fit_Value	Fit_T	BGC_Protocore_Gene?
AO353_00140	set1IT092 Cobalt chloride 0.32 mM	-1.477	-4.325	False
AO353_00310	set15IT089 L-Citrulline	-1.293	-5.507	False
AO353_00310	set15IT091 D-Glucose	-2.699	-9.125	False
AO353_00310	set15IT096 D-Glucose	-2.983	-8.517	False
AO353_00310	set1IT053 D-Glucose (C)	-3.434	-12.043	False
AO353_00310	set1IT054 D-Fructose (C)	-3.684	-12.544	False
AO353_00310	set1IT056 D-Ribose (C)	-4.018	-12.309	False
AO353_00310	set1IT058 D-Gluconic Acid (C)	-4.44	-10.704	False
AO353_00310	set1IT059 acetate (C)	-2.533	-9.251	False
AO353_00310	set1IT061 Trisodium citrate (C)	-3.409	-12.91	False
AO353_00310	set1IT062 D-Lactate (C)	-4.453	-10.343	False
AO353_00310	set1IT063 L-Lactate (C)	-3.229	-12.768	False
AO353_00310	set1IT064 D,L-Lactate (C)	-1.973	-9.998	False
AO353_00310	set1IT065 pyruvate (C)	-1.507	-7.652	False
AO353_00310	set1IT067 propionate (C)	-3.315	-9.733	False
AO353_00310	set1IT068 D-Glucose (C)	-3.663	-10.994	False
AO353_00310	set1IT069 D-Fructose (C)	-3.529	-11.829	False
AO353_00310	set1IT071 D-Ribose (C)	-4.175	-9.697	False
AO353_00310	set1IT073 D-Gluconic Acid (C)	-3.901	-10.048	False
AO353_00310	set1IT074 acetate (C)	-3.143	-8.34	False
AO353_00310	set1IT076 Trisodium citrate (C)	-3.462	-13.26	False
AO353_00310	set1IT077 D-Lactate (C)	-4.128	-10.634	False
AO353_00310	set1IT078 L-Lactate (C)	-3.57	-13.037	False
AO353_00310	set1IT079 D,L-Lactate (C)	-2.194	-10.615	False
AO353_00310	set1IT080 pyruvate (C)	-1.96	-9.077	False
AO353_00310	set1IT082 propionate (C)	-2.666	-8.642	False
AO353_00310	set1IT085 Cobalt chloride 0.32 mM	-1.5	-7.198	False
AO353_00310	set1IT089 Paraquat dichloride 0.032 mg/mL	-2.539	-7.455	False
AO353_00310	set2IT014 m-Inositol (C)	-2.986	-7.642	False
AO353_00310	set2IT015 Ethanol (C)	-1.825	-6.814	False
AO353_00310	set2IT016 Glycerol (C)	-3.108	-9.245	False
AO353_00310	set2IT018 Tween 20 (C)	-2.725	-8.59	False
