rv	tajimas_d	bgc_related
Rv0238	-1.26921386711	False
Rv1322	-1.25227690785	False
Rv2227	-1.61216846391	False
Rv1324	-1.53416068133	False
Rv1321	-1.08147996858	False
Rv1019	-0.792913864593	False
Rv0232	-0.799972004476	False
Rv2929	-1.26921386711	True
Rv0042c	-1.71499391347	False
Rv3889c	-1.81764574783	False
Rv0965c	-1.07428667316	False
Rv1567c	-1.53010265082	False
Rv2095c	-1.46487917413	False
Rv2096c	-0.546323416019	False
Rv1107c	-1.25791602283	False
Rv2601	-1.84408170789	True
Rv1871c	-1.34301180543	False
Rv0455c	-1.08147996573	False
Rv0927c	-1.64142155894	False
Rv3830c	-1.74957105256	True
Rv3340	-1.97302175581	False
Rv1552	-2.16736906149	False
Rv1553	-1.10822379251	False
Rv1554	-1.4041740221	False
Rv1555	-1.52191706848	False
Rv2745c	-1.04563772801	False
Rv1592c	-0.923113818266	False
Rv1254	-1.72204168839	False
Rv1524	-1.749970718	True
Rv0309	-1.43031761146	False
Rv0308	-1.57261051749	False
Rv1520	-1.12473981671	True
Rv3517	-1.54291880829	False
Rv0306	-1.08147330259	False
Rv0268c	-1.40890846659	False
Rv2373c	-1.69896192971	True
Rv0303	-1.71550737142	False
Rv0302	-0.372506548912	False
Rv1510	-1.92917771353	False
Rv0123	-1.28057055433	False
Rv0122	-1.08147989278	False
Rv0128	-1.41838009999	False
Rv2949c	-1.73462627743	True
Rv0170	-1.55481535091	False
Rv0342	-1.79596219222	False
Rv1964	-1.52652631587	False
Rv2124c	-2.22383093618	False
Rv1965	-1.20093115957	False
Rv3780	-1.02408268906	False
Rv1712	-1.10169994218	False
Rv3785	-0.330743890625	False
Rv3403c	-2.11205866868	True
Rv1814	-1.73226897964	False
Rv3788	-0.580168946926	False
Rv3789	-0.792913864593	False
Rv2051c	-2.0724547913	True
Rv0380c	0.163316017771	False
Rv3848	-2.02691479072	False
Rv0174	-1.14925966689	False
Rv2954c	-1.28057054431	True
Rv2215	-1.36896021041	False
Rv0475	-0.792987846034	False
Rv1926c	-1.43264896952	False
Rv2895c	-1.73495340639	False
Rv3571	-1.78439643788	False
Rv1675c	-1.35186596549	True
Rv1980c	-0.974338378481	False
Rv3526	-1.4041112286	False
Rv2269c	-1.5382902068	True
Rv2556c	-1.11448635911	False
Rv1108c	-1.70245122132	False
Rv2073c	-1.56906145806	False
Rv0410c	-2.1758805255	True
Rv2097c	-1.60548234911	False
Rv3741c	-1.19025645018	False
Rv3215	-1.41364018367	False
Rv3259	-1.40885891086	False
Rv0067c	-1.63408466591	False
Rv3537	-1.08500477371	False
Rv3297	0.232308219268	False
Rv3254	-1.26998711032	False
Rv3574	-1.3936929317	False
Rv3044	-1.68934184735	False
Rv2729c	-1.01244569376	False
Rv2313c	-1.69602326223	False
Rv1505c	-0.792491489497	False
Rv1334	-1.5475436859	False
Rv2393	-1.2635451121	True
Rv1248c	-1.33959719587	False
Rv3334	-1.63046353466	False
Rv2871	-0.740356602146	False
Rv2316	-0.247715083855	False
Rv2317	-1.26356489799	False
Rv2318	-1.52590166261	False
Rv3407	0.974460766927	False
Rv3385c	-1.03828289089	False
Rv2332	-1.61946746941	False
Rv3331	-1.79429367535	False
Rv0825c	-0.497641098471	False
Rv2801c	-1.27489221072	False
Rv0108c	-0.776567589972	True
Rv2063A	-0.648629379209	True
Rv1991c	-0.484401862573	False
Rv1942c	-1.05278132507	False
Rv1495	-1.40887574928	False
Rv1102c	0.944308556143	False
Rv0659c	-1.0815642863	False
Rv0456A	-1.54654920743	False
Rv1237	-1.64138984963	False
Rv1551	-2.06018581219	False
Rv2482c	-2.09720032604	False
Rv1111c	-1.12859090691	False
Rv2783c	-1.84495792552	False
Rv2903c	-1.25223767922	False
Rv0871	-1.1743590495	False
Rv3858c	-1.97303005804	False
Rv3648c	-1.56840495255	False
Rv3476c	-1.47166153188	False
Rv0935	-1.42798341166	False
Rv0929	-1.54654920403	False
Rv2510c	-1.55482728635	False
Rv1272c	-0.792913864593	False
Rv2103c	0.35935273311	False
Rv1982c	-1.18698260984	False
Rv1962c	-1.28057055433	False
Rv1741	-0.792913864593	False
Rv1242	-1.26922366426	False
Rv0749	-1.96070594501	False
Rv0624	-1.53414641756	False
Rv1165	-1.86297636068	False
Rv1366A	-1.26922367427	True
Rv1895	-1.85540808532	False
Rv1893	-1.23529006596	False
Rv2530c	-1.54654920743	False
Rv1891	-1.06000369991	False
Rv0749A	0.137993573843	False
Rv1129c	-2.21311620939	False
Rv1928c	-0.44757546857	False
Rv1934c	-1.36619227459	False
Rv1250	-1.97030584934	False
Rv1187	-2.05649427487	False
Rv3529c	-1.80571323251	False
Rv3298c	-0.792913851897	False
Rv3244c	-1.85577218814	False
Rv3016	-1.24091041347	False
Rv2585c	-2.02391344401	True
Rv3584	-1.26356494497	False
Rv3390	-1.77552198358	True
Rv0399c	-2.03515950686	True
Rv0344c	-1.7088352902	False
Rv0237	-1.44378894945	False
Rv3763	-0.856508824107	False
Rv0604	-1.51370866609	False
Rv0583c	-1.55067862033	False
Rv0419	-1.3821211817	True
Rv0418	-1.9400081528	True
Rv0847	-1.55078597478	False
Rv0838	-1.71899909885	False
Rv0835	-0.944950838839	False
Rv0671	-1.6802206311	False
Rv1166	-1.81902565501	False
Rv1064c	-1.26920824777	False
