rv	tajimas_d	bgc_related	gene_length	length_cat
Rv0238	-1.26921386711	False	615	middle_50_percentile
Rv0238	-1.26921386711	False	615	all
Rv1322	-1.25227690785	False	297	all
Rv2227	-1.61216846391	False	702	middle_50_percentile
Rv2227	-1.61216846391	False	702	all
Rv1324	-1.53416068133	False	915	middle_50_percentile
Rv1324	-1.53416068133	False	915	all
Rv1321	-1.08147996858	False	681	middle_50_percentile
Rv1321	-1.08147996858	False	681	all
Rv1019	-0.792913864593	False	594	middle_50_percentile
Rv1019	-0.792913864593	False	594	all
Rv0232	-0.799972004476	False	690	middle_50_percentile
Rv0232	-0.799972004476	False	690	all
Rv2929	-1.26921386711	True	312	all
Rv0042c	-1.71499391347	False	627	middle_50_percentile
Rv0042c	-1.71499391347	False	627	all
Rv3889c	-1.81764574783	False	831	middle_50_percentile
Rv3889c	-1.81764574783	False	831	all
Rv0965c	-1.07428667316	False	420	all
Rv1567c	-1.53010265082	False	285	all
Rv2095c	-1.46487917413	False	951	middle_50_percentile
Rv2095c	-1.46487917413	False	951	all
Rv2096c	-0.546323416019	False	999	middle_50_percentile
Rv2096c	-0.546323416019	False	999	all
Rv1107c	-1.25791602283	False	258	all
Rv2601	-1.84408170789	True	1572	all
Rv1871c	-1.34301180543	False	390	all
Rv0455c	-1.08147996573	False	447	all
Rv0927c	-1.64142155894	False	792	middle_50_percentile
Rv0927c	-1.64142155894	False	792	all
Rv3830c	-1.74957105256	True	630	middle_50_percentile
Rv3830c	-1.74957105256	True	630	all
Rv3340	-1.97302175581	False	1350	all
Rv1552	-2.16736906149	False	1752	all
Rv1553	-1.10822379251	False	744	middle_50_percentile
Rv1553	-1.10822379251	False	744	all
Rv1554	-1.4041740221	False	381	all
Rv1555	-1.52191706848	False	378	all
Rv2745c	-1.04563772801	False	339	all
Rv1592c	-0.923113818266	False	1341	all
Rv1254	-1.72204168839	False	1152	middle_50_percentile
Rv1254	-1.72204168839	False	1152	all
Rv1524	-1.749970718	True	1245	middle_50_percentile
Rv1524	-1.749970718	True	1245	all
Rv0309	-1.43031761146	False	657	middle_50_percentile
Rv0309	-1.43031761146	False	657	all
Rv0308	-1.57261051749	False	717	middle_50_percentile
Rv0308	-1.57261051749	False	717	all
Rv1520	-1.12473981671	True	1041	middle_50_percentile
Rv1520	-1.12473981671	True	1041	all
Rv3517	-1.54291880829	False	840	middle_50_percentile
Rv3517	-1.54291880829	False	840	all
Rv0306	-1.08147330259	False	672	middle_50_percentile
Rv0306	-1.08147330259	False	672	all
Rv0268c	-1.40890846659	False	510	all
Rv2373c	-1.69896192971	True	1149	middle_50_percentile
Rv2373c	-1.69896192971	True	1149	all
Rv0303	-1.71550737142	False	909	middle_50_percentile
Rv0303	-1.71550737142	False	909	all
Rv0302	-0.372506548912	False	633	middle_50_percentile
Rv0302	-0.372506548912	False	633	all
Rv1510	-1.92917771353	False	1299	all
Rv0123	-1.28057055433	False	369	all
Rv0122	-1.08147989278	False	369	all
Rv0128	-1.41838009999	False	780	middle_50_percentile
Rv0128	-1.41838009999	False	780	all
Rv2949c	-1.73462627743	True	600	middle_50_percentile
Rv2949c	-1.73462627743	True	600	all
Rv0170	-1.55481535091	False	1041	middle_50_percentile
Rv0170	-1.55481535091	False	1041	all
Rv0342	-1.79596219222	False	1923	all
Rv1964	-1.52652631587	False	798	middle_50_percentile
Rv1964	-1.52652631587	False	798	all
Rv2124c	-2.22383093618	False	3579	all
Rv1965	-1.20093115957	False	816	middle_50_percentile
Rv1965	-1.20093115957	False	816	all
Rv3780	-1.02408268906	False	537	middle_50_percentile
Rv3780	-1.02408268906	False	537	all
Rv1712	-1.10169994218	False	693	middle_50_percentile
Rv1712	-1.10169994218	False	693	all
Rv3785	-0.330743890625	False	1074	middle_50_percentile
Rv3785	-0.330743890625	False	1074	all
Rv3403c	-2.11205866868	True	1602	all
Rv1814	-1.73226897964	False	903	middle_50_percentile
Rv1814	-1.73226897964	False	903	all
Rv3788	-0.580168946926	False	486	all
Rv3789	-0.792913864593	False	366	all
Rv2051c	-2.0724547913	True	2625	all
Rv0380c	0.163316017771	False	552	middle_50_percentile
Rv0380c	0.163316017771	False	552	all
